Anchor_Name,40_a,40_b,50_a,50_b,60_a,60_b
OVM.M15A-1,0,0,0,0,0,0
OVM.M15A-2,140,90,135,85,130,85
OVM.M15A-3,170,110,155,95,145,95
OVM.M15A-4,198,120,176,110,168,107
OVM.M15A-5,220,135,200,120,184,117
OVM.M15A-6,240,155,224,135,224,132
OVM.M15A-7,260,160,235,140,224,132
OVM.M15A-8,275,165,250,150,246,147
OVM.M15A-9,295,175,265,155,256,153
OVM.M15A-10,310,180,290,170,280,170
OVM.M15A-11,325,185,295,170,290,170
OVM.M15A-12,340,190,310,170,290,170
OVM.M15A-13,355,195,320,175,300,170
OVM.M15A-14,365,210,330,180,320,178
OVM.M15A-15,380,220,345,185,330,185
OVM.M15A-16,390,235,355,195,335,185
OVM.M15A-17,405,250,370,210,345,187
OVM.M15A-18,415,255,380,215,355,190
OVM.M15A-19,430,255,390,215,365,190
OVM.M15A-20,455,268,410,223,390,205
OVM.M15A-21,455,268,410,223,390,205
OVM.M15A-22,485,270,415,225,410,205
OVM.M15A-23,500,285,450,235,425,220
OVM.M15A-24,500,285,450,235,425,220
OVM.M15A-25,500,285,450,235,425,220
OVM.M15A-26,510,295,460,245,435,220
OVM.M15A-27,510,295,460,245,435,220
OVM.M15A-28,600,350,545,295,510,270
OVM.M15A-29,600,350,545,295,510,270
OVM.M15A-30,600,350,545,295,510,270
OVM.M15A-31,600,350,545,295,510,270
OVM.M15A-32,600,350,545,295,510,270
OVM.M15A-33,600,350,545,295,510,270
OVM.M15A-34,600,350,545,295,510,270
OVM.M15A-35,600,350,545,295,510,270
OVM.M15A-36,600,350,545,295,510,270
OVM.M15A-37,600,350,545,295,510,270
