Anchor_Name,No_Strands,Casting_Dia,Casting_Len,Duct_ID,Head_Dia,Head_T,Spiral_Dia,Bar_size,Spiral_pitch,Spiral_turns
OVM.M15A-1,1,0,0,0,50,48,80,6,30,4
OVM.M15A-2,2,132,80,45,86,50,115,8,40,4
OVM.M15A-3,3,136,80,50,91,50,130,10,50,4
OVM.M15A-4,4,140,125,55,102,50,150,12,50,4
OVM.M15A-5,5,155,130,55,115,50,170,12,50,4
OVM.M15A-6,6,165,160,70,126,52,200,12,50,4
OVM.M15A-7,7,172,170,70,126,53,200,12,50,4
OVM.M15A-8,8,185,180,80,136,55,216,14,50,5
OVM.M15A-9,9,200,190,80,146,55,240,14,50,5
OVM.M15A-10,10,210,210,90,156,58,270,14,60,5
OVM.M15A-11,11,210,220,90,166,58,270,16,60,5
OVM.M15A-12,12,214,230,90,166,60,270,16,60,5
OVM.M15A-13,13,224,230,90,170,63,270,16,60,5
OVM.M15A-14,14,233,260,90,176,65,285,16,60,5
OVM.M15A-15,15,246,290,90,186,68,300,16,60,5
OVM.M15A-16,16,246,330,90,196,70,300,18,60,5
OVM.M15A-17,17,258,395,90,196,73,300,18,60,5
OVM.M15A-18,18,272,325,100,206,75,310,18,60,6
OVM.M15A-19,19,272,325,100,206,75,310,18,60,6
OVM.M15A-20,20,300,325,120,226,80,320,20,60,6
OVM.M15A-21,21,300,325,120,226,80,320,20,60,6
OVM.M15A-22,22,300,325,120,226,80,320,20,60,6
OVM.M15A-23,23,330,430,120,244,82,350,20,60,6
OVM.M15A-24,24,330,430,120,244,82,350,20,60,6
OVM.M15A-25,25,330,430,120,244,85,350,20,60,6
OVM.M15A-26,26,330,430,120,244,85,350,20,60,6
OVM.M15A-27,27,330,430,120,244,85,350,20,60,6
OVM.M15A-28,28,352,415,130,260,88,390,20,60,7
OVM.M15A-29,29,352,415,130,260,88,390,20,60,7
OVM.M15A-30,30,352,415,130,260,90,390,20,60,7
OVM.M15A-31,31,352,415,130,260,90,390,20,60,7
OVM.M15A-32,32,386,510,140,296,95,465,20,60,8
OVM.M15A-33,33,386,510,140,296,95,465,20,60,8
OVM.M15A-34,34,386,510,140,296,95,465,20,60,8
OVM.M15A-35,35,394,510,140,296,100,465,20,60,8
OVM.M15A-36,36,394,510,140,296,100,465,20,60,8
OVM.M15A-37,37,394,510,140,296,100,465,20,60,8
